[2025-04-29T20:43:39.498+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-29T20:43:39.515+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: portfolio_news_pipeline.check_historical_news manual__2025-04-29T20:43:38.495539+00:00 [queued]>
[2025-04-29T20:43:39.522+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: portfolio_news_pipeline.check_historical_news manual__2025-04-29T20:43:38.495539+00:00 [queued]>
[2025-04-29T20:43:39.523+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2025-04-29T20:43:39.540+0000] {taskinstance.py:2889} INFO - Executing <Task(_PythonDecoratedOperator): check_historical_news> on 2025-04-29 20:43:38.495539+00:00
[2025-04-29T20:43:39.547+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=649) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-29T20:43:39.549+0000] {standard_task_runner.py:72} INFO - Started process 652 to run task
[2025-04-29T20:43:39.549+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'portfolio_news_pipeline', 'check_historical_news', 'manual__2025-04-29T20:43:38.495539+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/news_pipeline.py', '--cfg-path', '/tmp/tmpcxqx1q35']
[2025-04-29T20:43:39.550+0000] {standard_task_runner.py:105} INFO - Job 11: Subtask check_historical_news
[2025-04-29T20:43:39.592+0000] {task_command.py:467} INFO - Running <TaskInstance: portfolio_news_pipeline.check_historical_news manual__2025-04-29T20:43:38.495539+00:00 [running]> on host 67118760a44b
[2025-04-29T20:43:39.672+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='portfolio_news_pipeline' AIRFLOW_CTX_TASK_ID='check_historical_news' AIRFLOW_CTX_EXECUTION_DATE='2025-04-29T20:43:38.495539+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-29T20:43:38.495539+00:00'
[2025-04-29T20:43:39.673+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-04-29T20:43:39.693+0000] {mongodb_client.py:26} INFO - Connected to MongoDB successfully
[2025-04-29T20:43:39.704+0000] {logging_mixin.py:190} INFO - 115
[2025-04-29T20:43:39.707+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-04-29 00:00:00: missing
[2025-04-29T20:43:39.708+0000] {check_historical_news.py:35} INFO - Missing news for Apple for week 2025-04-29 00:00:00
[2025-04-29T20:43:39.711+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-04-22 00:00:00: exists
[2025-04-29T20:43:39.713+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-04-15 00:00:00: exists
[2025-04-29T20:43:39.716+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-04-08 00:00:00: exists
[2025-04-29T20:43:39.718+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-04-01 00:00:00: exists
[2025-04-29T20:43:39.720+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-03-25 00:00:00: missing
[2025-04-29T20:43:39.721+0000] {check_historical_news.py:35} INFO - Missing news for Apple for week 2025-03-25 00:00:00
[2025-04-29T20:43:39.723+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-03-18 00:00:00: missing
[2025-04-29T20:43:39.723+0000] {check_historical_news.py:35} INFO - Missing news for Apple for week 2025-03-18 00:00:00
[2025-04-29T20:43:39.725+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-03-11 00:00:00: missing
[2025-04-29T20:43:39.725+0000] {check_historical_news.py:35} INFO - Missing news for Apple for week 2025-03-11 00:00:00
[2025-04-29T20:43:39.727+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-03-04 00:00:00: missing
[2025-04-29T20:43:39.727+0000] {check_historical_news.py:35} INFO - Missing news for Apple for week 2025-03-04 00:00:00
[2025-04-29T20:43:39.729+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-02-25 00:00:00: missing
[2025-04-29T20:43:39.729+0000] {check_historical_news.py:35} INFO - Missing news for Apple for week 2025-02-25 00:00:00
[2025-04-29T20:43:39.731+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-02-18 00:00:00: missing
[2025-04-29T20:43:39.731+0000] {check_historical_news.py:35} INFO - Missing news for Apple for week 2025-02-18 00:00:00
[2025-04-29T20:43:39.733+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-02-11 00:00:00: missing
[2025-04-29T20:43:39.733+0000] {check_historical_news.py:35} INFO - Missing news for Apple for week 2025-02-11 00:00:00
[2025-04-29T20:43:39.735+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-04-29 00:00:00: missing
[2025-04-29T20:43:39.736+0000] {check_historical_news.py:35} INFO - Missing news for Microsoft for week 2025-04-29 00:00:00
[2025-04-29T20:43:39.737+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-04-22 00:00:00: exists
[2025-04-29T20:43:39.739+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-04-15 00:00:00: exists
[2025-04-29T20:43:39.740+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-04-08 00:00:00: exists
[2025-04-29T20:43:39.741+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-04-01 00:00:00: exists
[2025-04-29T20:43:39.743+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-03-25 00:00:00: missing
[2025-04-29T20:43:39.743+0000] {check_historical_news.py:35} INFO - Missing news for Microsoft for week 2025-03-25 00:00:00
[2025-04-29T20:43:39.746+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-03-18 00:00:00: missing
[2025-04-29T20:43:39.747+0000] {check_historical_news.py:35} INFO - Missing news for Microsoft for week 2025-03-18 00:00:00
[2025-04-29T20:43:39.749+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-03-11 00:00:00: missing
[2025-04-29T20:43:39.749+0000] {check_historical_news.py:35} INFO - Missing news for Microsoft for week 2025-03-11 00:00:00
[2025-04-29T20:43:39.751+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-03-04 00:00:00: missing
[2025-04-29T20:43:39.751+0000] {check_historical_news.py:35} INFO - Missing news for Microsoft for week 2025-03-04 00:00:00
[2025-04-29T20:43:39.753+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-02-25 00:00:00: missing
[2025-04-29T20:43:39.753+0000] {check_historical_news.py:35} INFO - Missing news for Microsoft for week 2025-02-25 00:00:00
[2025-04-29T20:43:39.755+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-02-18 00:00:00: missing
[2025-04-29T20:43:39.755+0000] {check_historical_news.py:35} INFO - Missing news for Microsoft for week 2025-02-18 00:00:00
[2025-04-29T20:43:39.757+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-02-11 00:00:00: missing
[2025-04-29T20:43:39.757+0000] {check_historical_news.py:35} INFO - Missing news for Microsoft for week 2025-02-11 00:00:00
[2025-04-29T20:43:39.759+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-04-29 00:00:00: missing
[2025-04-29T20:43:39.759+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-04-29 00:00:00
[2025-04-29T20:43:39.760+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-04-22 00:00:00: missing
[2025-04-29T20:43:39.761+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-04-22 00:00:00
[2025-04-29T20:43:39.762+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-04-15 00:00:00: missing
[2025-04-29T20:43:39.762+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-04-15 00:00:00
[2025-04-29T20:43:39.764+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-04-08 00:00:00: missing
[2025-04-29T20:43:39.764+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-04-08 00:00:00
[2025-04-29T20:43:39.765+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-04-01 00:00:00: missing
[2025-04-29T20:43:39.766+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-04-01 00:00:00
[2025-04-29T20:43:39.767+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-03-25 00:00:00: missing
[2025-04-29T20:43:39.768+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-03-25 00:00:00
[2025-04-29T20:43:39.769+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-03-18 00:00:00: missing
[2025-04-29T20:43:39.769+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-03-18 00:00:00
[2025-04-29T20:43:39.771+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-03-11 00:00:00: missing
[2025-04-29T20:43:39.771+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-03-11 00:00:00
[2025-04-29T20:43:39.773+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-03-04 00:00:00: missing
[2025-04-29T20:43:39.773+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-03-04 00:00:00
[2025-04-29T20:43:39.775+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-02-25 00:00:00: missing
[2025-04-29T20:43:39.775+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-02-25 00:00:00
[2025-04-29T20:43:39.777+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-02-18 00:00:00: missing
[2025-04-29T20:43:39.777+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-02-18 00:00:00
[2025-04-29T20:43:39.779+0000] {mongodb_client.py:77} INFO - News for Alphabet on week 2025-02-11 00:00:00: missing
[2025-04-29T20:43:39.780+0000] {check_historical_news.py:35} INFO - Missing news for Alphabet for week 2025-02-11 00:00:00
[2025-04-29T20:43:39.782+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-04-29 00:00:00: missing
[2025-04-29T20:43:39.782+0000] {check_historical_news.py:35} INFO - Missing news for Amazon for week 2025-04-29 00:00:00
[2025-04-29T20:43:39.784+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-04-22 00:00:00: missing
[2025-04-29T20:43:39.785+0000] {check_historical_news.py:35} INFO - Missing news for Amazon for week 2025-04-22 00:00:00
[2025-04-29T20:43:39.787+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-04-15 00:00:00: missing
[2025-04-29T20:43:39.787+0000] {check_historical_news.py:35} INFO - Missing news for Amazon for week 2025-04-15 00:00:00
[2025-04-29T20:43:39.789+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-04-08 00:00:00: missing
[2025-04-29T20:43:39.789+0000] {check_historical_news.py:35} INFO - Missing news for Amazon for week 2025-04-08 00:00:00
[2025-04-29T20:43:39.791+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-04-01 00:00:00: missing
[2025-04-29T20:43:39.791+0000] {check_historical_news.py:35} INFO - Missing news for Amazon for week 2025-04-01 00:00:00
[2025-04-29T20:43:39.793+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-03-25 00:00:00: missing
[2025-04-29T20:43:39.793+0000] {check_historical_news.py:35} INFO - Missing news for Amazon for week 2025-03-25 00:00:00
[2025-04-29T20:43:39.795+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-03-18 00:00:00: missing
[2025-04-29T20:43:39.796+0000] {check_historical_news.py:35} INFO - Missing news for Amazon for week 2025-03-18 00:00:00
[2025-04-29T20:43:39.798+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-03-11 00:00:00: missing
[2025-04-29T20:43:39.799+0000] {check_historical_news.py:35} INFO - Missing news for Amazon for week 2025-03-11 00:00:00
[2025-04-29T20:43:39.800+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-03-04 00:00:00: missing
[2025-04-29T20:43:39.801+0000] {check_historical_news.py:35} INFO - Missing news for Amazon for week 2025-03-04 00:00:00
[2025-04-29T20:43:39.803+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-02-25 00:00:00: missing
[2025-04-29T20:43:39.803+0000] {check_historical_news.py:35} INFO - Missing news for Amazon for week 2025-02-25 00:00:00
[2025-04-29T20:43:39.805+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-02-18 00:00:00: missing
[2025-04-29T20:43:39.806+0000] {check_historical_news.py:35} INFO - Missing news for Amazon for week 2025-02-18 00:00:00
[2025-04-29T20:43:39.807+0000] {mongodb_client.py:77} INFO - News for Amazon on week 2025-02-11 00:00:00: missing
[2025-04-29T20:43:39.808+0000] {check_historical_news.py:35} INFO - Missing news for Amazon for week 2025-02-11 00:00:00
[2025-04-29T20:43:39.810+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-04-29 00:00:00: missing
[2025-04-29T20:43:39.810+0000] {check_historical_news.py:35} INFO - Missing news for Tesla for week 2025-04-29 00:00:00
[2025-04-29T20:43:39.812+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-04-22 00:00:00: exists
[2025-04-29T20:43:39.814+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-04-15 00:00:00: exists
[2025-04-29T20:43:39.815+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-04-08 00:00:00: exists
[2025-04-29T20:43:39.817+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-04-01 00:00:00: exists
[2025-04-29T20:43:39.818+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-03-25 00:00:00: missing
[2025-04-29T20:43:39.819+0000] {check_historical_news.py:35} INFO - Missing news for Tesla for week 2025-03-25 00:00:00
[2025-04-29T20:43:39.821+0000] {mongodb_client.py:77} INFO - News for Tesla on week 2025-03-18 00:00:00: missing
