[2025-04-29T20:43:48.340+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-29T20:43:48.357+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: portfolio_news_pipeline.check_historical_news manual__2025-04-29T20:43:45.954625+00:00 [queued]>
[2025-04-29T20:43:48.364+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: portfolio_news_pipeline.check_historical_news manual__2025-04-29T20:43:45.954625+00:00 [queued]>
[2025-04-29T20:43:48.364+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2025-04-29T20:43:48.377+0000] {taskinstance.py:2889} INFO - Executing <Task(_PythonDecoratedOperator): check_historical_news> on 2025-04-29 20:43:45.954625+00:00
[2025-04-29T20:43:48.383+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=665) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-29T20:43:48.384+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'portfolio_news_pipeline', 'check_historical_news', 'manual__2025-04-29T20:43:45.954625+00:00', '--job-id', '13', '--raw', '--subdir', 'DAGS_FOLDER/news_pipeline.py', '--cfg-path', '/tmp/tmp517vosxj']
[2025-04-29T20:43:48.385+0000] {standard_task_runner.py:72} INFO - Started process 668 to run task
[2025-04-29T20:43:48.385+0000] {standard_task_runner.py:105} INFO - Job 13: Subtask check_historical_news
[2025-04-29T20:43:48.430+0000] {task_command.py:467} INFO - Running <TaskInstance: portfolio_news_pipeline.check_historical_news manual__2025-04-29T20:43:45.954625+00:00 [running]> on host 67118760a44b
[2025-04-29T20:43:48.548+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='portfolio_news_pipeline' AIRFLOW_CTX_TASK_ID='check_historical_news' AIRFLOW_CTX_EXECUTION_DATE='2025-04-29T20:43:45.954625+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-29T20:43:45.954625+00:00'
[2025-04-29T20:43:48.549+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-04-29T20:43:48.572+0000] {mongodb_client.py:26} INFO - Connected to MongoDB successfully
[2025-04-29T20:43:48.588+0000] {logging_mixin.py:190} INFO - 115
[2025-04-29T20:43:48.593+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-04-29 00:00:00: missing
[2025-04-29T20:43:48.594+0000] {check_historical_news.py:35} INFO - Missing news for Apple for week 2025-04-29 00:00:00
[2025-04-29T20:43:48.598+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-04-22 00:00:00: exists
[2025-04-29T20:43:48.603+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-04-15 00:00:00: exists
[2025-04-29T20:43:48.607+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-04-08 00:00:00: exists
[2025-04-29T20:43:48.612+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-04-01 00:00:00: exists
[2025-04-29T20:43:48.617+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-03-25 00:00:00: missing
[2025-04-29T20:43:48.617+0000] {check_historical_news.py:35} INFO - Missing news for Apple for week 2025-03-25 00:00:00
[2025-04-29T20:43:48.621+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-03-18 00:00:00: missing
[2025-04-29T20:43:48.621+0000] {check_historical_news.py:35} INFO - Missing news for Apple for week 2025-03-18 00:00:00
[2025-04-29T20:43:48.626+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-03-11 00:00:00: missing
[2025-04-29T20:43:48.626+0000] {check_historical_news.py:35} INFO - Missing news for Apple for week 2025-03-11 00:00:00
[2025-04-29T20:43:48.629+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-03-04 00:00:00: missing
[2025-04-29T20:43:48.629+0000] {check_historical_news.py:35} INFO - Missing news for Apple for week 2025-03-04 00:00:00
[2025-04-29T20:43:48.633+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-02-25 00:00:00: missing
[2025-04-29T20:43:48.633+0000] {check_historical_news.py:35} INFO - Missing news for Apple for week 2025-02-25 00:00:00
[2025-04-29T20:43:48.636+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-02-18 00:00:00: missing
[2025-04-29T20:43:48.637+0000] {check_historical_news.py:35} INFO - Missing news for Apple for week 2025-02-18 00:00:00
[2025-04-29T20:43:48.640+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-02-11 00:00:00: missing
[2025-04-29T20:43:48.641+0000] {check_historical_news.py:35} INFO - Missing news for Apple for week 2025-02-11 00:00:00
[2025-04-29T20:43:48.645+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-04-29 00:00:00: missing
[2025-04-29T20:43:48.645+0000] {check_historical_news.py:35} INFO - Missing news for Microsoft for week 2025-04-29 00:00:00
[2025-04-29T20:43:48.649+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-04-22 00:00:00: exists
[2025-04-29T20:43:48.653+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-04-15 00:00:00: exists
[2025-04-29T20:43:48.657+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-04-08 00:00:00: exists
[2025-04-29T20:43:48.660+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-04-01 00:00:00: exists
[2025-04-29T20:43:48.664+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-03-25 00:00:00: missing
[2025-04-29T20:43:48.664+0000] {check_historical_news.py:35} INFO - Missing news for Microsoft for week 2025-03-25 00:00:00
[2025-04-29T20:43:48.668+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-03-18 00:00:00: missing
[2025-04-29T20:43:48.669+0000] {check_historical_news.py:35} INFO - Missing news for Microsoft for week 2025-03-18 00:00:00
[2025-04-29T20:43:48.672+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-03-11 00:00:00: missing
[2025-04-29T20:43:48.673+0000] {check_historical_news.py:35} INFO - Missing news for Microsoft for week 2025-03-11 00:00:00
[2025-04-29T20:43:48.676+0000] {mongodb_client.py:77} INFO - News for Microsoft on week 2025-03-04 00:00:00: missing
