[2025-04-29T20:51:13.946+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-29T20:51:13.962+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: portfolio_news_pipeline.check_historical_news manual__2025-04-29T20:51:12.528007+00:00 [queued]>
[2025-04-29T20:51:13.969+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: portfolio_news_pipeline.check_historical_news manual__2025-04-29T20:51:12.528007+00:00 [queued]>
[2025-04-29T20:51:13.969+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2025-04-29T20:51:13.980+0000] {taskinstance.py:2889} INFO - Executing <Task(_PythonDecoratedOperator): check_historical_news> on 2025-04-29 20:51:12.528007+00:00
[2025-04-29T20:51:13.985+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=92) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-29T20:51:13.986+0000] {standard_task_runner.py:72} INFO - Started process 95 to run task
[2025-04-29T20:51:13.986+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'portfolio_news_pipeline', 'check_historical_news', 'manual__2025-04-29T20:51:12.528007+00:00', '--job-id', '21', '--raw', '--subdir', 'DAGS_FOLDER/news_pipeline.py', '--cfg-path', '/tmp/tmplcwtooii']
[2025-04-29T20:51:13.987+0000] {standard_task_runner.py:105} INFO - Job 21: Subtask check_historical_news
[2025-04-29T20:51:14.022+0000] {task_command.py:467} INFO - Running <TaskInstance: portfolio_news_pipeline.check_historical_news manual__2025-04-29T20:51:12.528007+00:00 [running]> on host 67118760a44b
[2025-04-29T20:51:14.089+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='portfolio_news_pipeline' AIRFLOW_CTX_TASK_ID='check_historical_news' AIRFLOW_CTX_EXECUTION_DATE='2025-04-29T20:51:12.528007+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-29T20:51:12.528007+00:00'
[2025-04-29T20:51:14.090+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-04-29T20:51:14.101+0000] {mongodb_client.py:26} INFO - Connected to MongoDB successfully
[2025-04-29T20:51:14.109+0000] {logging_mixin.py:190} INFO - 391
[2025-04-29T20:51:14.111+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-04-29 00:00:00: missing
[2025-04-29T20:51:14.112+0000] {check_historical_news.py:35} INFO - Missing news for Apple for week 2025-04-29 00:00:00
[2025-04-29T20:51:14.114+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-04-22 00:00:00: exists
[2025-04-29T20:51:14.115+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-04-15 00:00:00: exists
[2025-04-29T20:51:14.117+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-04-08 00:00:00: exists
[2025-04-29T20:51:14.118+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-04-01 00:00:00: exists
[2025-04-29T20:51:14.119+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-03-25 00:00:00: missing
[2025-04-29T20:51:14.120+0000] {check_historical_news.py:35} INFO - Missing news for Apple for week 2025-03-25 00:00:00
[2025-04-29T20:51:14.121+0000] {mongodb_client.py:77} INFO - News for Apple on week 2025-03-18 00:00:00: missing
